DATE,MEAL,FOOD ITEM,UNIT,UNIT CALORIES,SUM CALORIES
11/1/2021,Breakfast,Kimchi Dumpling,1,160,160
11/1/2021,Breakfast,Scallion Twisted Bun,2,50,100
11/1/2021,Breakfast,Cabbage & Pork Bun,1,240,240
11/1/2021,Breakfast,Egg,1,80,80
11/1/2021,Breakfast,Chobani Yogurt,1,130,130
11/1/2021,Lunch,Chocolate Cupcake,1,424,424
11/1/2021,Dinner,Spicy Chicken Ramen,1,540,540
11/1/2021,Dinner,Dumplings,4,36,144
11/1/2021,Dinner,Shrimps,2,20,40
11/2/2021,Breakfast,Noodles (with sauce),1,350,350
11/2/2021,Breakfast,Egg,1,80,80
11/2/2021,Breakfast,Chobani Yogurt,1,130,130
11/2/2021,Lunch,Eggplant & Sausage Rice,1,456,456
11/2/2021,Dinner,Cheese Dog (Five Guys),1,295,295
11/2/2021,Dinner,Milkshake,1,120,120
11/03/2021,Breakfast,Egg,1,80,80
11/03/2021,Breakfast,Scallion Twisted Bun,2,50,100
11/03/2021,Breakfast,Corn,1,90,90
11/03/2021,Lunch,Kimchi Fried Rice,1,380,380
11/03/2021,Lunch,Milkshake,1,120,120
11/04/2021,Breakfast,Chocolate Croissant,1,470,470
11/04/2021,Lunch,Chicken and Pork Tripe Stew,1,880,880
11/04/2021,Lunch,Sour and Spicy Napa Cabbage,1,425,425
11/04/2021,Lunch,Scallion Beef Roll,2,262.5,525
11/04/2021,Lunch,Rice (bowl),1,200,200
11/05/2021,Breakfast,Kimchi Dumpling,3,85,255
11/05/2021,Breakfast,Scallion Twisted Bun,3,50,150
11/05/2021,Breakfast,Egg,1,80,80
11/05/2021,Lunch,Shakeshack Chicken Burger,1,774,774
11/05/2021,Lunch,Parmasen Garlic Fries,1,790,790
11/05/2021,Dinner,Spicy Chicken Ramen,1,540,540
