"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2155179,"October 31, 2021","New Mexico",Albuquerque,"2300 block of Parajito Rd SW",2,3,N/A
2155170,"October 31, 2021",Florida,Tampa,"43rd St and Skipper Rd",0,0,N/A
2155168,"October 31, 2021",Indiana,Indianapolis,"3200 block of Hovey St",1,0,N/A
2155160,"October 31, 2021",Florida,Deltona,"1400 Waterview Dr",1,1,N/A
2155157,"October 31, 2021",Illinois,Chicago,"400 block of S Kostner Ave",1,1,N/A
2155138,"October 31, 2021",Illinois,Chicago,"1400 block of S Sawyer Ave",0,1,N/A
2155153,"October 31, 2021",Florida,"Fort Lauderdale (Lauderhill)","NW 59th Way and NW 20th St",0,1,N/A
2155148,"October 31, 2021",Illinois,Chicago,"1500 block of W Fulton St",0,1,N/A
2155144,"October 31, 2021",Illinois,Chicago,"2800 block of N Milwaukee  Ave",0,1,N/A
2155140,"October 31, 2021",Florida,Miami,"3061 NW S River Dr",2,1,N/A
2155133,"October 31, 2021",Florida,Jacksonville,"15000 block of Lexington Park Blvd",0,1,N/A
2155131,"October 31, 2021",Illinois,Chicago,"4400 block of W Augusta Blvd",0,1,N/A
2155128,"October 31, 2021",Florida,Jacksonville,"1500 block of E 19th St",1,1,N/A
2155126,"October 31, 2021",Illinois,Chicago,"300 block of N St Louis Ave",0,1,N/A
2155119,"October 31, 2021",Arizona,Phoenix,"75th Ave and Thomas Rd",0,3,N/A
2155115,"October 31, 2021",Louisiana,"Baton Rouge","5431 Essen Ln",0,1,N/A
2155075,"October 31, 2021",Pennsylvania,Pittsburgh,"Brownsville Rd",0,1,N/A
2155079,"October 31, 2021",Pennsylvania,Mckeesport,"1400 block of Hamilton St",0,1,N/A
2155077,"October 31, 2021",Illinois,Chicago,"6100 block of S Campbell Ave",0,1,N/A
2155073,"October 31, 2021",Illinois,Chicago,"900 block of N Damen Ave",1,0,N/A
2155022,"October 31, 2021","New York",Houston,"1909 Schilder Dr",1,2,N/A
2154999,"October 31, 2021","New York",Rochester,"Dewey Ave and Knickerbocker Ave",1,0,N/A
2154997,"October 31, 2021","New York",Bronx,"680 Balcom Ave",0,1,N/A
2154994,"October 31, 2021","New York",Bronx,"Adee Ave and Colden Ave",0,2,N/A
2154954,"October 30, 2021","New York",Poughkeepsie,"384 Main St",0,1,N/A
2154948,"October 30, 2021","New York",Poughkeepsie,"125 Market St",0,1,N/A
2154945,"October 30, 2021",California,"San Jose","1100 block of S 2nd St",0,1,N/A
2154265,"October 30, 2021",Massachusetts,Framingham,"Hayes St",1,0,N/A
