,name,status,link,flag,abandon_date,notified_date,port,reported_by,abandon_year,notified_year
0,AG Bless,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=137&p_search_id=211217142103,Panama,25 November 2009,24 February 2010,"Dakar, Senegal",ITF,2009,2010
1,AG Mars,,seafarersbrowse.details?p_lang=en&p_abandonment_id=565&p_search_id=211217142103,Liberia,16 August 2021,26 August 2021,"Karachi, Pakistan",ITF,2021,2021
2,AQ 01,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=377&p_search_id=211217142103,United Arab Emirates,February 2017,4 January 2019,"Khorfakkan Port, Sharjah, UAE",International Chamber of Shipping,2017,2019
3,ARYBBAS,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=414&p_search_id=211217142103,Liberia,15 September 2019,19 November 2019,Port of Djibouti,Govt. of Greece,2019,2019
4,Abdallah,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=369&p_search_id=211217142103,Palau,,,Sharjah OPL anchorage,Other,,
5,Abdul Razag,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=372&p_search_id=211217142103,United Arab Emirates,,,Sharjah OPL Anchorage,Other,,
6,Abo Alyssa,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=394&p_search_id=211217142103,Togo,26 March 2019,17 June 2019,"Nemrut, Turkey",ITF,2019,2019
7,Adriatica 1,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=199&p_search_id=211217142103,Cyprus,20 September 2013,20 September 2013,"Porto Empedocle, Sicily, Italy",ITF,2013,2013
8,Agat,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=166&p_search_id=211217142103,Antigua & Barbuda,17 March 2011,11 May 2011,"Tenes, Algeria",ITF,2011,2011
9,Agdash,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=461&p_search_id=211217142103,Malta,13 June 2020,13 October 2020,"South Suez anchorage, Egypt",ITF,2020,2020
10,Ahadi 001 - fishing vessel,,seafarersbrowse.details?p_lang=en&p_abandonment_id=495&p_search_id=211217142103,Kenya,1 September 2020,18 December 2020,"Malindi, Kenya",ITF,2020,2020
11,Aizdihar,,seafarersbrowse.details?p_lang=en&p_abandonment_id=470&p_search_id=211217142103,St. Kitts & Nevis,28 February 2020,20 October 2020,"Sharjah, UAE",ITF,2020,2020
12,Akasya 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=411&p_search_id=211217142103,Comoros,28 October 2019,14 November 2019,"Gabes Port, Tunisia",ITF,2019,2019
